,X,Y,Z
1211,173.145,82.642,
1212,173.089,83.388,
1213,172.955,84.124,
1214,172.743,84.841,
1215,172.455,85.532,
1216,172.096,86.188,
1217,171.668,86.801,
1218,171.178,87.366,
1219,170.63,87.875,
1220,170.031,88.323,
1221,169.387,88.704,
1222,168.706,89.015,
1223,167.997,89.251,
1224,167.266,89.41,
1225,166.522,89.49,
1226,166.146,89.5,
1227,163.68,89.5,
1228,162.933,89.46,
1229,162.195,89.341,
1230,161.473,89.143,
1231,160.777,88.87,
1232,160.114,88.523,
1233,159.491,88.108,
1234,158.917,87.629,
1235,158.396,87.092,
1236,157.937,86.502,
1237,157.542,85.866,
1238,157.218,85.192,
1239,156.968,84.487,
1240,156.794,83.759,
1241,156.699,83.017,
1242,156.681,82.635,
1243,156.665,81.725,
1244,156.665,75.894,
1245,156.674,71.859,
1246,156.664,68.297,
1247,156.68,62.481,
1248,156.722,61.734,
1249,156.844,60.996,
1250,157.043,60.275,
1251,157.318,59.579,
1252,157.666,58.917,
1253,158.083,58.296,
1254,158.564,57.723,
1255,159.103,57.204,
1256,159.694,56.746,
1257,160.331,56.353,
1258,161.006,56.031,
1259,161.375,56.316,
1260,162.068,56.1,
1261,162.781,55.961,
